Source,Destination,Weight
sofiene chourabi,TUNISIA,5.0
morgan stanley,INDIA,1.0
majgen muhammad abd-al-salam al-mahjub,EGYPT,1.0
paul robinssection,UNITED STATES,1.0
le la ben ali,CANADA,1.0
ramadan al-amamra,SUDAN,2.0
dominique cruz,IRAQ,1.0
riccardo klement,GERMANY,4.0
hillary clintonthe,SYRIA,1.0
sa'id jalili,IRAN ISLAMIC REPUBLIC OF,2.0
thelavan doux,QUEBEC CANADA,1.0
abdel-halim qandil,EGYPT,1.0
thomas keller,CHILE,2.0
sami al-faraj,EGYPT,2.0
shaykh sabah al-ahmad al-jabir al-sabah,SUDAN,1.0
warren gatland,ENGLAND,1.0
sami marzougui,TUNISIA,1.0
david duncan,BAHRAIN,1.0
uli hoeness,GERMANY,1.0
ben alicracked,TUNISIA,1.0
chinh chu,UNITED STATES,1.0
francis mlewa,RWANDA,1.0
megan t,PERTH AUSTRALIA,1.0
zaghlul al-najjar,EGYPT,1.0
zul jamal,NORTH AMERICA,1.0
marcos leonardo medina,AUSTRALIA,1.0
fathi sabah,PALESTINIAN TERRITORY OCCUPIED,1.0
karen li,SAUDI ARABIA,1.0
paul de man,AUSTRALIA,2.0
presidentben ali,SAUDI ARABIA,1.0
mohamad aljineibi,EGYPT,1.0
mohammad amirand mohammad asif,QATAR,7.0
denis massey,ALGERIA,1.0
ian mcphedran,TIMOR-LESTE,2.0
mohamed atef,UNITED STATES,4.0
aris ardila santosoh,MALAYSIA,2.0
fabio capello,IRAQ,1.0
ramy ashour,NAMIBIA,2.0
rupert murdoch,LONDON ENGLAND,1.0
morgan stanley,UNITED STATES,4.0
atkins cleethorpes,IRAQ,1.0
ji dong-wong,NORTHERN ASIA,4.0
lucas neilltim cahill,AUSTRALIA,1.0
brix smith-start,CYPRUS,2.0
moshe yaalon,ISRAEL,3.0
hugh o donnell,ABU DHABI UNITED ARAB EMIRATES,1.0
laurent gbagbohas,ISRAEL,1.0
ian bates,MALAYSIA,1.0
baha al-araji,UNITED STATES,1.0
sebastian faulks,UNITED ARAB EMIRATES,2.0
franceaccuse ben ali,TUNISIA,1.0
